// SR1 Audio Analyzer: 12/6/2024 10:22:58 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
0,6.81498515397917E-8
0.244140625,7.12085565196778E-8
0.48828125,6.7183946723985E-8
0.732421875,5.52708488849021E-8
0.9765625,4.60105381652068E-8
1.220703125,4.01644116260185E-8
1.46484375,3.61743273108506E-8
1.708984375,3.32291925596351E-8
1.953125,3.06055995506434E-8
2.197265625,2.83682893456102E-8
2.44140625,2.7077785066246E-8
2.685546875,2.61300995475267E-8
2.9296875,2.57111877360613E-8
3.173828125,2.59501749859217E-8
3.41796875,2.61204094317945E-8
3.662109375,2.60611567865842E-8
3.90625,2.55035333481244E-8
4.150390625,2.46235328634713E-8
4.39453125,2.40654175404969E-8
4.638671875,2.38456754750606E-8
4.8828125,2.36498666155869E-8
5.126953125,2.35381648813773E-8
5.37109375,2.34802898363914E-8
5.615234375,2.31375721800239E-8
5.859375,2.29368888070744E-8
6.103515625,2.30993735216946E-8
6.34765625,2.28616884973243E-8
6.591796875,2.23674216928468E-8
6.8359375,2.21696442404775E-8
7.080078125,2.15118377750713E-8
7.32421875,2.1062013380073E-8
7.568359375,2.13332521390513E-8
7.8125,2.15935796294755E-8
8.056640625,2.15977115778228E-8
8.30078125,2.18924309671907E-8
8.544921875,2.24417431595792E-8
8.7890625,2.20145959203291E-8
9.033203125,2.0765903673583E-8
9.27734375,2.00913043870484E-8
9.521484375,2.01787434839237E-8
9.765625,2.03248863823626E-8
10.009765625,2.07759335476317E-8
10.25390625,2.1582106929658E-8
10.498046875,2.13648620443916E-8
10.7421875,2.03734377082778E-8
10.986328125,1.98195565801685E-8
11.23046875,1.95989841558873E-8
11.474609375,1.92969776549825E-8
11.71875,1.85493041368339E-8
11.962890625,1.84486841996144E-8
12.20703125,1.92682033811183E-8
12.451171875,1.98992990316612E-8
12.6953125,2.04567195385467E-8
12.939453125,2.07800037722955E-8
13.18359375,2.04346191444211E-8
13.427734375,1.95103477788108E-8
13.671875,1.90774707659318E-8
13.916015625,2.05223208750228E-8
14.16015625,2.22712753201273E-8
14.404296875,2.18955639197362E-8
14.6484375,2.04029312214382E-8
14.892578125,1.96352230833156E-8
15.13671875,1.94834688342388E-8
15.380859375,1.93297135513226E-8
15.625,1.92961267610722E-8
15.869140625,1.95086979963681E-8
16.11328125,1.95330157021857E-8
16.357421875,1.90265037783199E-8
16.6015625,1.82345696334314E-8
16.845703125,1.79989375380745E-8
17.08984375,1.84545358497352E-8
17.333984375,1.86800504035524E-8
17.578125,1.85501282795437E-8
17.822265625,1.84328372748831E-8
18.06640625,1.83165807276333E-8
18.310546875,1.83873688518698E-8
18.5546875,1.9216639293575E-8
18.798828125,1.99638083411641E-8
