Freq.	V(n005)
1.00000000000000e+03	(4.92791414854051e+01dB,1.79985435328312e+02°)
1.00230523807790e+03	(4.92791414859531e+01dB,1.79985401753275e+02°)
1.00461579027840e+03	(4.92791414865036e+01dB,1.79985368100840e+02°)
1.00693166885180e+03	(4.92791414870567e+01dB,1.79985334370828e+02°)
1.00925288607668e+03	(4.92791414876123e+01dB,1.79985300563060e+02°)
1.01157945425990e+03	(4.92791414881705e+01dB,1.79985266677357e+02°)
1.01391138573668e+03	(4.92791414887313e+01dB,1.79985232713540e+02°)
1.01624869287070e+03	(4.92791414892946e+01dB,1.79985198671428e+02°)
1.01859138805412e+03	(4.92791414898606e+01dB,1.79985164550840e+02°)
1.02093948370768e+03	(4.92791414904292e+01dB,1.79985130351597e+02°)
1.02329299228075e+03	(4.92791414910003e+01dB,1.79985096073516e+02°)
1.02565192625141e+03	(4.92791414915742e+01dB,1.79985061716416e+02°)
1.02801629812647e+03	(4.92791414921506e+01dB,1.79985027280115e+02°)
1.03038612044162e+03	(4.92791414927298e+01dB,1.79984992764430e+02°)
1.03276140576140e+03	(4.92791414933116e+01dB,1.79984958169178e+02°)
1.03514216667934e+03	(4.92791414938961e+01dB,1.79984923494175e+02°)
1.03752841581801e+03	(4.92791414944833e+01dB,1.79984888739239e+02°)
1.03992016582906e+03	(4.92791414950732e+01dB,1.79984853904184e+02°)
1.04231742939330e+03	(4.92791414956658e+01dB,1.79984818988826e+02°)
1.04472021922080e+03	(4.92791414962612e+01dB,1.79984783992980e+02°)
1.04712854805090e+03	(4.92791414968593e+01dB,1.79984748916460e+02°)
1.04954242865232e+03	(4.92791414974602e+01dB,1.79984713759080e+02°)
1.05196187382322e+03	(4.92791414980638e+01dB,1.79984678520654e+02°)
1.05438689639126e+03	(4.92791414986703e+01dB,1.79984643200996e+02°)
1.05681750921366e+03	(4.92791414992795e+01dB,1.79984607799916e+02°)
1.05925372517729e+03	(4.92791414998915e+01dB,1.79984572317229e+02°)
1.06169555719872e+03	(4.92791415005064e+01dB,1.79984536752746e+02°)
1.06414301822431e+03	(4.92791415011241e+01dB,1.79984501106279e+02°)
1.06659612123026e+03	(4.92791415017446e+01dB,1.79984465377637e+02°)
1.06905487922266e+03	(4.92791415023681e+01dB,1.79984429566633e+02°)
1.07151930523761e+03	(4.92791415029944e+01dB,1.79984393673076e+02°)
1.07398941234124e+03	(4.92791415036236e+01dB,1.79984357696776e+02°)
1.07646521362983e+03	(4.92791415042557e+01dB,1.79984321637541e+02°)
1.07894672222983e+03	(4.92791415048907e+01dB,1.79984285495182e+02°)
1.08143395129794e+03	(4.92791415055286e+01dB,1.79984249269506e+02°)
1.08392691402120e+03	(4.92791415061695e+01dB,1.79984212960320e+02°)
1.08642562361706e+03	(4.92791415068134e+01dB,1.79984176567434e+02°)
1.08893009333343e+03	(4.92791415074602e+01dB,1.79984140090654e+02°)
1.09144033644875e+03	(4.92791415081100e+01dB,1.79984103529786e+02°)
1.09395636627209e+03	(4.92791415087628e+01dB,1.79984066884636e+02°)
1.09647819614318e+03	(4.92791415094186e+01dB,1.79984030155010e+02°)
1.09900583943252e+03	(4.92791415100775e+01dB,1.79983993340714e+02°)
1.10153930954141e+03	(4.92791415107393e+01dB,1.79983956441552e+02°)
1.10407861990207e+03	(4.92791415114043e+01dB,1.79983919457329e+02°)
1.10662378397766e+03	(4.92791415120723e+01dB,1.79983882387848e+02°)
1.10917481526240e+03	(4.92791415127434e+01dB,1.79983845232913e+02°)
1.11173172728159e+03	(4.92791415134176e+01dB,1.79983807992328e+02°)
1.11429453359173e+03	(4.92791415140949e+01dB,1.79983770665894e+02°)
1.11686324778056e+03	(4.92791415147753e+01dB,1.79983733253413e+02°)
