;Scopy version,f4beeb1
;Exported on,Wednesday December 04/12/2024
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,19.4603,0.252241
1,1010.19,19.3288,-0.0383973
2,1020.48,19.3222,-0.0443272
3,1030.88,19.3329,-0.026446
4,1041.38,19.3421,-0.165474
5,1051.99,19.3301,0.0358311
6,1062.71,19.3267,-0.234472
7,1073.54,19.3269,0.0675296
8,1084.47,19.3238,-0.287551
9,1095.52,19.3234,0.0234814
10,1106.68,19.3336,-0.0703791
11,1117.96,19.3283,0.107742
12,1129.35,19.326,-0.117848
13,1140.86,19.3305,0.154393
14,1152.48,19.332,-0.117474
15,1164.22,19.3351,-0.159225
16,1176.08,19.3396,-0.066536
17,1188.06,19.3374,-0.120177
18,1200.17,19.3347,-0.0976439
19,1212.4,19.3291,0.0433801
20,1224.75,19.3449,-0.0566223
21,1237.23,19.3403,-0.00140834
22,1249.83,19.3546,-0.144664
23,1262.57,19.3406,-0.0216555
24,1275.43,19.3378,0.0405043
25,1288.42,19.3434,-0.031682
26,1301.55,19.3557,-0.0113266
27,1314.81,19.342,-0.245431
28,1328.21,19.3459,-0.127818
29,1341.74,19.3364,-0.0904677
30,1355.41,19.3321,-0.0413035
31,1369.22,19.3519,0.096328
32,1383.17,19.3462,0.0601979
33,1397.26,19.3477,-0.0721269
34,1411.5,19.3421,0.0324085
35,1425.88,19.3567,-0.116473
36,1440.4,19.3307,-0.146206
37,1455.08,19.3402,-0.248914
38,1469.9,19.3305,0.256201
39,1484.88,19.3304,0.157011
40,1500.01,19.3525,0.0172865
41,1515.29,19.3435,-0.0523673
42,1530.73,19.3436,-0.0935529
43,1546.32,19.3324,0.0648875
44,1562.08,19.3391,0.0414698
45,1577.99,19.3377,-0.189651
46,1594.07,19.3328,-0.0221309
47,1610.31,19.3483,0.0680326
48,1626.72,19.3511,0.0357626
49,1643.29,19.3373,0.204954
50,1660.03,19.3526,0.0127079
51,1676.95,19.3665,0.0585129
52,1694.03,19.3655,0.0944934
53,1711.29,19.3542,0.132521
54,1728.73,19.3636,0.132919
55,1746.34,19.3618,0.05832
56,1764.13,19.3705,0.102306
57,1782.11,19.3821,-0.0313586
58,1800.26,19.3667,0.0143569
59,1818.6,19.3637,0.159995
60,1837.13,19.3767,0.121203
61,1855.85,19.3747,-0.193733
62,1874.76,19.3488,-0.098134
63,1893.86,19.3564,0.1147
64,1913.15,19.3697,-0.0205054
65,1932.65,19.3497,0.0575356
66,1952.34,19.3654,0.253361
67,1972.23,19.3708,0.264398
68,1992.32,19.377,0.107373
69,2012.62,19.3785,0.0834604
70,2033.12,19.3528,0.249517
71,2053.84,19.3533,-0.0910105
72,2074.76,19.3637,0.195645
73,2095.9,19.3708,0.064807
74,2117.26,19.3692,0.283764
75,2138.83,19.3657,-0.0103056
76,2160.62,19.3538,0.255502
77,2182.63,19.3671,0.230831
78,2204.87,19.37,-0.0104343
79,2227.33,19.367,0.225575
80,2250.03,19.3692,-0.0449262
81,2272.95,19.3324,0.367539
82,2296.11,19.3655,0.095313
83,2319.5,19.3594,0.0142914
84,2343.13,19.3569,0.107491
85,2367,19.3791,0.230327
86,2391.12,19.3835,0.232164
87,2415.48,19.3695,0.0215934
88,2440.09,19.3728,0.27996
89,2464.95,19.3733,0.0217941
90,2490.07,19.3783,0.439509
91,2515.44,19.3604,0.198228
92,2541.06,19.3718,0.352121
93,2566.95,19.3735,0.140034
94,2593.11,19.3679,0.241871
95,2619.52,19.3802,0.095827
96,2646.21,19.373,0.145341
97,2673.17,19.3605,0.104971
98,2700.41,19.3614,0.308727
99,2727.92,19.3655,-0.111849
100,2755.71,19.3753,0.261636
101,2783.79,19.3794,0.434952
102,2812.15,19.3816,0.150539
103,2840.8,19.3758,0.116736
104,2869.75,19.3659,0.0977012
105,2898.98,19.3788,0.327967
106,2928.52,19.3598,0.214251
107,2958.36,19.3625,0.191993
108,2988.5,19.362,0.172394
109,3018.95,19.3537,0.208023
110,3049.7,19.361,0.274565
111,3080.78,19.3583,0.237267
112,3112.16,19.3583,0.207755
113,3143.87,19.3619,0.145028
114,3175.9,19.3627,0.288224
115,3208.26,19.3643,0.339612
116,3240.95,19.3648,0.379999
117,3273.97,19.3688,0.302318
118,3307.32,19.3754,0.256793
119,3341.02,19.3675,0.108268
120,3375.06,19.3771,0.322339
121,3409.44,19.3641,0.112767
122,3444.18,19.3727,0.226587
123,3479.27,19.3727,0.310795
124,3514.72,19.3753,0.242543
125,3550.53,19.3821,0.464282
126,3586.7,19.374,0.444646
127,3623.24,19.3829,0.602434
128,3660.16,19.3685,0.102972
129,3697.45,19.3917,0.507002
130,3735.12,19.3845,0.368406
131,3773.17,19.387,0.458489
132,3811.62,19.3861,0.247367
133,3850.45,19.3787,0.829604
134,3889.68,19.3925,0.624719
135,3929.31,19.3862,0.822217
136,3969.34,19.398,0.528136
137,4009.78,19.4072,0.5021
138,4050.64,19.3928,0.686561
139,4091.91,19.4091,0.527581
140,4133.6,19.3997,0.179493
141,4175.71,19.4302,0.855828
142,4218.25,19.4116,0.365684
143,4261.23,19.4149,0.227953
144,4304.64,19.4315,0.824625
145,4348.5,19.424,0.547399
146,4392.81,19.4221,0.440857
147,4437.56,19.4488,0.731591
148,4482.77,19.4244,0.399773
149,4528.44,19.4234,0.3748
150,4574.58,19.4433,1.06673
151,4621.19,19.4614,0.52385
152,4668.27,19.4759,0.416517
153,4715.83,19.4635,0.4597
154,4763.88,19.4559,0.650244
155,4812.41,19.472,0.404841
156,4861.45,19.4646,0.809738
157,4910.98,19.4585,0.436594
158,4961.01,19.444,0.758836
159,5011.55,19.4585,0.245339
160,5062.61,19.4452,0.310132
161,5114.19,19.4728,0.830598
162,5166.3,19.4698,0.482802
163,5218.93,19.4584,0.515342
164,5272.11,19.4618,0.237462
165,5325.82,19.4704,0.649303
166,5380.08,19.4436,0.302125
167,5434.9,19.4469,0.332487
168,5490.27,19.4625,0.55352
169,5546.2,19.4546,0.0853766
170,5602.71,19.4354,0.528818
171,5659.79,19.4557,0.131455
172,5717.46,19.4574,0.269301
173,5775.71,19.4648,0.313399
174,5834.55,19.4442,0.82212
175,5894,19.4637,0.529722
176,5954.05,19.4576,0.128443
177,6014.71,19.4541,0.317114
178,6075.99,19.4577,0.621139
179,6137.89,19.4454,0.120875
180,6200.43,19.4553,0.214836
181,6263.6,19.4803,0.222095
182,6327.41,19.4615,0.0803081
183,6391.88,19.449,0.244746
184,6457,19.4373,0.441327
185,6522.79,19.4502,0.0409314
186,6589.25,19.4486,0.622861
187,6656.38,19.4533,-0.0473872
188,6724.2,19.4269,0.208811
189,6792.7,19.4519,0.204061
190,6861.91,19.4481,0.00656435
191,6931.82,19.4809,0.100456
192,7002.45,19.4559,0.131269
193,7073.79,19.452,0.385549
194,7145.86,19.4434,0.248017
195,7218.66,19.4484,-0.0650228
196,7292.21,19.4495,0.0638919
197,7366.5,19.4692,0.00629876
198,7441.56,19.4628,0.383945
199,7517.37,19.4114,0.0700526
200,7593.96,19.3853,0.179423
201,7671.33,19.3972,0.0280659
202,7749.49,19.3983,0.0150687
203,7828.44,19.3976,0.289438
204,7908.2,19.409,0.369929
205,7988.77,19.4154,0.150043
206,8070.17,19.424,-0.00339155
207,8152.39,19.424,0.390938
208,8235.45,19.4475,0.0657738
209,8319.35,19.4489,0.152362
210,8404.11,19.4749,0.414449
211,8489.74,19.4703,0.0957315
212,8576.23,19.4649,0.267759
213,8663.61,19.4746,0.17699
214,8751.88,19.4692,0.0795502
215,8841.05,19.4701,0.316898
216,8931.12,19.4918,-0.00918794
217,9022.11,19.4771,0.26128
218,9114.03,19.472,0.0878914
219,9206.89,19.4777,0.265232
220,9300.69,19.4568,0.261404
221,9395.45,19.4688,0.150213
222,9491.18,19.4614,0.138991
223,9587.87,19.4373,0.0817437
224,9685.56,19.4385,0.243688
225,9784.24,19.4252,0.228529
226,9883.92,19.4458,0.160828
227,9984.62,19.4269,-0.608585
228,10086.4,19.3719,0.220882
229,10189.1,19.3564,0.351012
230,10292.9,19.3637,0.252121
231,10397.8,19.3727,0.139872
232,10503.7,19.3616,0.117774
233,10610.7,19.358,0.0880924
234,10718.8,19.373,0.0727271
235,10828.1,19.3659,0.143526
236,10938.4,19.3811,0.323296
237,11049.8,19.3598,0.217019
238,11162.4,19.361,0.0239881
239,11276.1,19.3591,0.148885
240,11391,19.3766,0.0299105
241,11507.1,19.3708,0.0990023
242,11624.3,19.3747,0.20758
243,11742.7,19.3736,0.255096
244,11862.4,19.3733,0.0084485
245,11983.2,19.3699,0.227469
246,12105.3,19.385,0.0882318
247,12228.7,19.368,0.227371
248,12353.2,19.3697,-0.0528906
249,12479.1,19.3641,0.195199
250,12606.2,19.3574,0.131497
251,12734.7,19.3723,0.095583
252,12864.4,19.3673,0.200876
253,12995.5,19.3551,-0.025352
254,13127.9,19.3563,-0.018309
255,13261.6,19.3659,-0.115712
256,13396.8,19.3794,0.274286
257,13533.2,19.3768,-0.0866142
258,13671.1,19.3705,0.0751951
259,13810.4,19.3559,0.271486
260,13951.1,19.3708,0.0703182
261,14093.3,19.3658,0.219338
262,14236.8,19.3795,-0.0412092
263,14381.9,19.3741,0.204319
264,14528.4,19.3678,0.183512
265,14676.4,19.3669,-0.0365461
266,14826,19.3712,-0.0218832
