;Scopy version,f4beeb1
;Exported on,Wednesday December 04/12/2024
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,23.9925,0.266039
1,1010.19,23.9123,0.00443448
2,1020.48,23.909,0.139881
3,1030.88,23.9203,0.0710971
4,1041.38,23.9241,-0.0393899
5,1051.99,23.9329,0.0730009
6,1062.71,23.9438,0.0105036
7,1073.54,23.9505,0.0233971
8,1084.47,23.9391,0.139881
9,1095.52,23.9368,0.102708
10,1106.68,23.9446,0.155653
11,1117.96,23.9525,0.0256552
12,1129.35,23.9476,0.0116136
13,1140.86,23.9597,0.0896045
14,1152.48,23.933,0.0900892
15,1164.22,23.9465,0.123789
16,1176.08,23.9398,0.056098
17,1188.06,23.9595,0.0851918
18,1200.17,23.9645,0.028754
19,1212.4,23.97,0.0492547
20,1224.75,23.9621,0.0333427
21,1237.23,23.9661,0.0537439
22,1249.83,23.9641,0.26121
23,1262.57,23.9668,0.0238665
24,1275.43,23.9629,0.017064
25,1288.42,23.9857,0.0647618
26,1301.55,23.9735,0.151147
27,1314.81,23.9592,0.0788234
28,1328.21,23.9826,0.106498
29,1341.74,23.9692,0.0794775
30,1355.41,23.9511,0.0449639
31,1369.22,23.9605,-0.00339489
32,1383.17,23.9646,0.151426
33,1397.26,23.9738,0.0974389
34,1411.5,23.9735,0.0248643
35,1425.88,23.9708,0.103487
36,1440.4,23.9619,0.0868554
37,1455.08,23.9717,0.0862284
38,1469.9,23.9592,0.0341097
39,1484.88,23.9739,0.114336
40,1500.01,23.9743,0.0845392
41,1515.29,23.9689,0.0519384
42,1530.73,23.9678,0.056434
43,1546.32,23.9672,0.052736
44,1562.08,23.9748,0.0522534
45,1577.99,23.9661,0.0839268
46,1594.07,23.9578,-0.0277422
47,1610.31,23.9584,0.118441
48,1626.72,23.9674,0.0574946
49,1643.29,23.9608,0.0444554
50,1660.03,23.9491,0.155214
51,1676.95,23.9406,0.130724
52,1694.03,23.9624,0.167129
53,1711.29,23.9524,0.0806004
54,1728.73,23.9641,-0.00958069
55,1746.34,23.96,0.114234
56,1764.13,23.9663,0.0908297
57,1782.11,23.943,0.156902
58,1800.26,23.9513,0.113139
59,1818.6,23.9278,0.128263
60,1837.13,23.9456,0.198577
61,1855.85,23.9456,0.16084
62,1874.76,23.9443,0.0965196
63,1893.86,23.9522,0.0712625
64,1913.15,23.9481,0.121465
65,1932.65,23.9618,0.0714912
66,1952.34,23.951,0.144689
67,1972.23,23.9413,0.0744446
68,1992.32,23.9459,0.0746592
69,2012.62,23.9356,0.130802
70,2033.12,23.946,0.122844
71,2053.84,23.9495,0.0730669
72,2074.76,23.9452,0.134897
73,2095.9,23.9405,0.126452
74,2117.26,23.9321,0.107742
75,2138.83,23.9476,0.301686
76,2160.62,23.9337,0.153302
77,2182.63,23.9391,0.104372
78,2204.87,23.9522,0.0553606
79,2227.33,23.958,0.0398796
80,2250.03,23.9699,0.0809346
81,2272.95,23.9445,0.00337125
82,2296.11,23.9531,0.161118
83,2319.5,23.9481,0.222606
84,2343.13,23.9581,0.0432962
85,2367,23.9654,0.130065
86,2391.12,23.969,0.121804
87,2415.48,23.9771,0.298388
88,2440.09,23.9798,0.302459
89,2464.95,23.9723,0.153881
90,2490.07,23.9572,0.0520338
91,2515.44,23.9686,0.27329
92,2541.06,23.9555,0.11405
93,2566.95,23.9723,0.229334
94,2593.11,23.9736,0.156317
95,2619.52,23.9646,0.0799125
96,2646.21,23.9753,0.173696
97,2673.17,23.9739,0.127325
98,2700.41,23.973,0.141147
99,2727.92,23.9708,0.152135
100,2755.71,23.9768,0.298629
101,2783.79,23.9724,0.160223
102,2812.15,23.9806,0.109683
103,2840.8,23.9859,0.230915
104,2869.75,23.9949,0.188097
105,2898.98,24.0013,0.110514
106,2928.52,23.9988,0.13371
107,2958.36,23.9842,0.201203
108,2988.5,23.9905,0.139509
109,3018.95,23.9883,0.0140455
110,3049.7,23.9905,0.219345
111,3080.78,23.9877,0.257731
112,3112.16,23.9796,0.222907
113,3143.87,23.9906,0.0501687
114,3175.9,23.9833,0.194427
115,3208.26,24.0013,0.182611
116,3240.95,23.9891,0.0557204
117,3273.97,24.0056,0.194876
118,3307.32,24.0012,0.166327
119,3341.02,24.0085,0.224315
120,3375.06,24.0046,0.0874172
121,3409.44,24.0025,0.151491
122,3444.18,24.0012,0.288193
123,3479.27,24.0032,0.0813965
124,3514.72,24.0008,0.216964
125,3550.53,23.9921,0.16346
126,3586.7,23.9932,0.088631
127,3623.24,23.9991,0.15234
128,3660.16,23.9986,0.165822
129,3697.45,24.0061,0.202368
130,3735.12,23.9978,0.1238
131,3773.17,24.0159,0.179952
132,3811.62,24.0134,0.0916274
133,3850.45,24.0063,0.0771993
134,3889.68,24.006,0.249544
135,3929.31,24.0136,0.0393271
136,3969.34,24.004,0.154428
137,4009.78,24.0138,0.178843
138,4050.64,24.0159,0.0428821
139,4091.91,24.018,0.205454
140,4133.6,24.0063,0.0453735
141,4175.71,24.0051,0.208733
142,4218.25,23.9999,0.106101
143,4261.23,24.002,0.061685
144,4304.64,23.9877,0.222181
145,4348.5,24.0035,-0.157734
146,4392.81,24.0026,0.191478
147,4437.56,23.9958,0.0483536
148,4482.77,23.9979,0.172853
149,4528.44,24.0023,0.240125
150,4574.58,23.9982,0.12781
151,4621.19,24.0005,0.133029
152,4668.27,24.0047,0.0666899
153,4715.83,23.9998,0.142793
154,4763.88,23.9915,0.157243
155,4812.41,23.9897,0.141957
156,4861.45,23.99,0.204142
157,4910.98,23.9892,0.301814
158,4961.01,23.9862,0.190592
159,5011.55,23.9922,0.234753
160,5062.61,23.9807,0.181863
161,5114.19,23.9785,-0.0247163
162,5166.3,23.9991,0.144443
163,5218.93,23.9776,0.101677
164,5272.11,23.9877,0.137688
165,5325.82,23.9962,0.211395
166,5380.08,23.9886,0.152328
167,5434.9,23.9934,0.200369
168,5490.27,24.0031,0.210605
