;Scopy version,f4beeb1
;Exported on,Friday December 06/12/2024
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,-39.5968,-1.31389
1,1010.19,-39.3094,0.0860972
2,1020.48,-39.3134,0.142566
3,1030.88,-39.3188,0.469058
4,1041.38,-39.3482,0.339271
5,1051.99,-39.3181,0.0806588
6,1062.71,-39.3293,0.393168
7,1073.54,-39.3304,0.431488
8,1084.47,-39.3287,0.103846
9,1095.52,-39.3417,0.270311
10,1106.68,-39.3385,0.279978
11,1117.96,-39.3336,0.360102
12,1129.35,-39.3382,0.301322
13,1140.86,-39.3532,0.215584
14,1152.48,-39.3598,0.23051
15,1164.22,-39.3512,0.407272
16,1176.08,-39.3595,0.0816388
17,1188.06,-39.3886,0.0584688
18,1200.17,-39.3624,0.379589
19,1212.4,-39.3567,0.220568
20,1224.75,-39.3577,0.392789
21,1237.23,-39.3548,0.0585609
22,1249.83,-39.3635,0.0820284
23,1262.57,-39.3901,0.231592
24,1275.43,-39.3892,0.371923
25,1288.42,-39.3848,0.0735799
26,1301.55,-39.3742,0.150736
27,1314.81,-39.3663,0.233418
28,1328.21,-39.3792,0.0689979
29,1341.74,-39.383,0.0653853
30,1355.41,-39.3844,0.124469
31,1369.22,-39.3742,0.0950763
32,1383.17,-39.3756,0.113093
33,1397.26,-39.3752,0.248257
34,1411.5,-39.391,0.0249759
35,1425.88,-39.3963,0.205537
36,1440.4,-39.3915,0.230052
37,1455.08,-39.3925,-0.0345669
38,1469.9,-39.3828,0.00229644
39,1484.88,-39.4043,-0.216584
40,1500.01,-39.3916,0.115547
41,1515.29,-39.3965,0.191167
42,1530.73,-39.3947,0.243788
43,1546.32,-39.4069,-0.000515642
44,1562.08,-39.4048,0.191801
45,1577.99,-39.4087,0.233634
46,1594.07,-39.4208,0.176989
47,1610.31,-39.4108,0.308138
48,1626.72,-39.4236,0.118484
49,1643.29,-39.4148,0.34268
50,1660.03,-39.4192,-0.080896
51,1676.95,-39.4141,0.164786
52,1694.03,-39.4353,0.00139283
53,1711.29,-39.4284,0.164372
54,1728.73,-39.4529,0.0825506
55,1746.34,-39.4474,0.0247382
56,1764.13,-39.4475,-0.0443343
57,1782.11,-39.4533,0.172687
58,1800.26,-39.4695,-0.145501
59,1818.6,-39.4461,-0.508916
60,1837.13,-39.4536,0.0795638
