;Scopy version,f4beeb1
;Exported on,Friday December 06/12/2024
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,-25.7743,0.32002
1,1010.19,-25.6218,0.136198
2,1020.48,-25.6345,-0.103222
3,1030.88,-25.6418,0.137826
4,1041.38,-25.6469,0.0393363
5,1051.99,-25.6482,0.160881
6,1062.71,-25.6735,0.0603834
7,1073.54,-25.6819,-0.0729896
8,1084.47,-25.6897,0.364814
9,1095.52,-25.7077,-0.0525358
10,1106.68,-25.7201,0.0721758
11,1117.96,-25.7214,0.2195
12,1129.35,-25.7197,-0.0135841
13,1140.86,-25.7219,-0.0767109
14,1152.48,-25.7303,0.0435013
15,1164.22,-25.7497,-0.055806
16,1176.08,-25.7142,0.00614444
17,1188.06,-25.7119,0.16802
18,1200.17,-25.7152,0.087145
19,1212.4,-25.7213,0.141741
20,1224.75,-25.7152,0.0815621
21,1237.23,-25.7256,0.261078
22,1249.83,-25.7295,0.317851
23,1262.57,-25.7234,0.149332
24,1275.43,-25.7436,-0.0104141
25,1288.42,-25.7282,0.126464
26,1301.55,-25.726,0.213814
27,1314.81,-25.7318,0.136916
28,1328.21,-25.7295,0.0816844
29,1341.74,-25.7394,0.250094
30,1355.41,-25.74,0.185213
31,1369.22,-25.7454,0.0382891
32,1383.17,-25.7351,0.199224
33,1397.26,-25.7345,0.108374
34,1411.5,-25.7452,-0.113972
35,1425.88,-25.7457,0.357849
36,1440.4,-25.761,0.0387271
37,1455.08,-25.7548,-0.0555002
38,1469.9,-25.7434,0.48665
39,1484.88,-25.7567,0.0814612
40,1500.01,-25.7743,0.151212
41,1515.29,-25.7776,0.274175
42,1530.73,-25.7718,0.470741
43,1546.32,-25.7644,0.168682
44,1562.08,-25.7771,0.323268
45,1577.99,-25.785,0.0142953
46,1594.07,-25.7729,0.537264
47,1610.31,-25.7662,0.0664981
48,1626.72,-25.7823,0.217311
49,1643.29,-25.7899,0.279839
50,1660.03,-25.7901,0.0909541
51,1676.95,-25.7783,0.177723
52,1694.03,-25.7907,0.0115113
53,1711.29,-25.7909,0.144865
54,1728.73,-25.7932,0.0611258
55,1746.34,-25.8037,0.139612
56,1764.13,-25.7975,0.040422
57,1782.11,-25.7933,-0.123999
58,1800.26,-25.8089,0.0184894
59,1818.6,-25.8133,0.166855
60,1837.13,-25.8143,0.00983406
61,1855.85,-25.8165,-0.0467012
62,1874.76,-25.8147,0.148138
63,1893.86,-25.8196,-0.0676628
64,1913.15,-25.8223,0.26452
65,1932.65,-25.8228,0.0573099
66,1952.34,-25.8221,0.080112
67,1972.23,-25.8191,-0.140007
68,1992.32,-25.8209,-0.0265992
69,2012.62,-25.8167,0.0646694
70,2033.12,-25.8277,0.225744
71,2053.84,-25.8179,0.414065
72,2074.76,-25.8385,0.0391657
73,2095.9,-25.8158,0.290385
74,2117.26,-25.8206,0.111629
75,2138.83,-25.819,0.0248026
76,2160.62,-25.8229,-0.186171
77,2182.63,-25.8204,0.0534415
78,2204.87,-25.8255,0.209204
79,2227.33,-25.8257,0.222355
80,2250.03,-25.8288,0.163422
81,2272.95,-25.8167,-0.00519369
82,2296.11,-25.8246,-0.2319
83,2319.5,-25.8193,0.255915
84,2343.13,-25.8189,0.183504
85,2367,-25.8269,0.260044
86,2391.12,-25.8294,0.00242119
87,2415.48,-25.8329,-0.0705885
88,2440.09,-25.8186,-0.177959
89,2464.95,-25.8213,-0.0912574
90,2490.07,-25.8297,0.0972393
91,2515.44,-25.8249,0.0427629
92,2541.06,-25.8262,0.0111067
93,2566.95,-25.847,-0.12323
94,2593.11,-25.8244,-0.0877425
