;Scopy version,f4beeb1
;Exported on,Friday December 06/12/2024
;Device,M2K
;Nr of samples,100
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
0,1000,3.1959,-0.310719
1,1107.7,3.12757,0.0553401
2,1227.01,3.1308,0.0225426
3,1359.16,3.13327,0.0392215
4,1505.55,3.13723,0.0575059
5,1667.7,3.13814,0.0839445
6,1847.32,3.14003,0.0993934
7,2046.28,3.13831,0.0229716
8,2266.67,3.14018,0.118764
9,2510.8,3.14758,0.0384373
10,2781.23,3.1502,0.111401
11,3080.78,3.15924,0.0950769
12,3412.59,3.15989,0.117677
13,3780.13,3.16051,0.088877
14,4187.27,3.15399,0.0837296
15,4638.25,3.16857,0.11479
16,5137.81,3.16916,0.0184175
17,5691.17,3.16409,0.0745446
18,6304.13,3.16877,0.0664146
19,6983.11,3.17038,0.121812
20,7735.22,3.1661,0.0743888
21,8568.33,3.16707,-0.051149
22,9491.18,3.17395,-0.0518037
23,10513.4,3.15875,0.0171654
24,11645.7,3.16015,-0.0420691
25,12900,3.16506,-0.0639456
26,14289.4,3.16111,-0.0193924
27,15828.4,3.16672,-0.139679
28,17533.2,3.16837,-0.165379
29,19421.6,3.16667,-0.272662
30,21513.4,3.17415,-0.238502
31,23830.5,3.17948,-0.266688
32,26397.1,3.17914,-0.217166
33,29240.2,3.18422,-0.32174
34,32389.5,3.18765,-0.410814
35,35877.9,3.19167,-0.382249
36,39742.1,3.1826,-0.418254
37,44022.5,3.18119,-0.590794
38,48763.9,3.19892,-0.649936
39,54015.9,3.17285,-0.871152
40,59833.6,3.19455,-0.817636
41,66278,3.18416,-0.855825
42,73416.3,3.19084,-1.00203
43,81323.6,3.19156,-1.15105
44,90082.4,3.19108,-1.25097
45,99784.6,3.18854,-1.42593
46,110532,3.18833,-1.55647
47,122437,3.18682,-1.66314
48,135623,3.20415,-2.19515
49,150231,3.19608,-2.02945
50,166411,3.19491,-2.354
51,184334,3.19452,-2.71455
52,204187,3.20217,-2.98104
53,226179,3.20267,-3.17709
54,250540,3.21215,-3.5944
55,277524,3.2157,-3.99101
56,307414,3.23516,-4.40083
57,340524,3.25197,-5.08841
58,377199,3.22701,-5.45768
59,417825,3.25084,-6.01781
60,462826,3.27035,-6.80416
61,512675,3.2894,-7.81839
62,567892,3.27387,-8.55765
63,629056,3.33921,-9.21157
64,696807,3.34885,-10.357
65,771856,3.37904,-11.4159
66,854988,3.42963,-12.802
67,947073,3.49097,-14.3518
68,1.04908e+06,3.55365,-16.0433
69,1.16207e+06,3.62748,-17.915
70,1.28723e+06,3.71288,-19.9633
71,1.42586e+06,3.82129,-22.492
72,1.57944e+06,3.95203,-25.1833
73,1.74955e+06,4.10167,-28.3678
74,1.93798e+06,4.2759,-32.0527
75,2.14671e+06,4.47495,-36.0636
76,2.37792e+06,4.71151,-41.1065
77,2.63403e+06,5.03819,-46.2915
78,2.91772e+06,5.39689,-53.3678
79,3.23197e+06,5.73344,-62.2073
80,3.58007e+06,6.04532,-72.4251
81,3.96565e+06,6.28283,-85.2327
82,4.39277e+06,6.3251,-100.097
83,4.86588e+06,6.06539,-117.03
84,5.38996e+06,5.35605,-135.088
85,5.97048e+06,4.23176,-153.746
86,6.61352e+06,2.70193,-172.352
87,7.32582e+06,0.83861,-190
88,8.11484e+06,-1.24764,-206
89,8.98884e+06,-3.50344,-221
90,9.95697e+06,-5.90933,-235
91,1.10294e+07,-8.24765,-248
92,1.22173e+07,-10.6654,-258
93,1.35331e+07,-12.8953,-269
94,1.49907e+07,-14.6949,-279
95,1.66053e+07,-16.1784,-290
96,1.83937e+07,-17.2273,-306
97,2.03748e+07,-17.8272,-325
98,2.25692e+07,-17.8503,7.7292
99,2.5e+07,-18.4534,-37.8788
